Region,År,datakalla,Variabel,Värde
Hallands län,2001,historisk,Inrikes flyttnetto,844
Hallands län,2001,historisk,Inrikes inflyttade,8205
Hallands län,2001,historisk,Inrikes utflyttade,7361
Hallands län,2002,historisk,Inrikes flyttnetto,1131
Hallands län,2002,historisk,Inrikes inflyttade,8016
Hallands län,2002,historisk,Inrikes utflyttade,6885
Hallands län,2003,historisk,Inrikes flyttnetto,1745
Hallands län,2003,historisk,Inrikes inflyttade,8625
Hallands län,2003,historisk,Inrikes utflyttade,6880
Hallands län,2004,historisk,Inrikes flyttnetto,1350
Hallands län,2004,historisk,Inrikes inflyttade,8471
Hallands län,2004,historisk,Inrikes utflyttade,7121
Hallands län,2005,historisk,Inrikes flyttnetto,1180
Hallands län,2005,historisk,Inrikes inflyttade,8623
Hallands län,2005,historisk,Inrikes utflyttade,7443
Hallands län,2006,historisk,Inrikes flyttnetto,1457
Hallands län,2006,historisk,Inrikes inflyttade,8909
Hallands län,2006,historisk,Inrikes utflyttade,7452
Hallands län,2007,historisk,Inrikes flyttnetto,1085
Hallands län,2007,historisk,Inrikes inflyttade,8708
Hallands län,2007,historisk,Inrikes utflyttade,7623
Hallands län,2008,historisk,Inrikes flyttnetto,808
Hallands län,2008,historisk,Inrikes inflyttade,8467
Hallands län,2008,historisk,Inrikes utflyttade,7659
Hallands län,2009,historisk,Inrikes flyttnetto,1423
Hallands län,2009,historisk,Inrikes inflyttade,8709
Hallands län,2009,historisk,Inrikes utflyttade,7286
Hallands län,2010,historisk,Inrikes flyttnetto,1163
Hallands län,2010,historisk,Inrikes inflyttade,8551
Hallands län,2010,historisk,Inrikes utflyttade,7388
Hallands län,2011,historisk,Inrikes flyttnetto,1198
Hallands län,2011,historisk,Inrikes inflyttade,8902
Hallands län,2011,historisk,Inrikes utflyttade,7704
Hallands län,2012,historisk,Inrikes flyttnetto,1233
Hallands län,2012,historisk,Inrikes inflyttade,9132
Hallands län,2012,historisk,Inrikes utflyttade,7899
Hallands län,2013,historisk,Inrikes flyttnetto,972
Hallands län,2013,historisk,Inrikes inflyttade,9168
Hallands län,2013,historisk,Inrikes utflyttade,8196
Hallands län,2014,historisk,Inrikes flyttnetto,971
Hallands län,2014,historisk,Inrikes inflyttade,9634
Hallands län,2014,historisk,Inrikes utflyttade,8663
Hallands län,2015,historisk,Inrikes flyttnetto,1004
Hallands län,2015,historisk,Inrikes inflyttade,9719
Hallands län,2015,historisk,Inrikes utflyttade,8715
Hallands län,2016,historisk,Inrikes flyttnetto,1237
Hallands län,2016,historisk,Inrikes inflyttade,10187
Hallands län,2016,historisk,Inrikes utflyttade,8950
Hallands län,2017,historisk,Inrikes flyttnetto,1541
Hallands län,2017,historisk,Inrikes inflyttade,11039
Hallands län,2017,historisk,Inrikes utflyttade,9498
Hallands län,2018,historisk,Inrikes flyttnetto,1829
Hallands län,2018,historisk,Inrikes inflyttade,10950
Hallands län,2018,historisk,Inrikes utflyttade,9121
Hallands län,2019,historisk,Inrikes flyttnetto,1829
Hallands län,2019,historisk,Inrikes inflyttade,10802
Hallands län,2019,historisk,Inrikes utflyttade,8973
Hallands län,2020,historisk,Inrikes flyttnetto,1283
Hallands län,2020,historisk,Inrikes inflyttade,11069
Hallands län,2020,historisk,Inrikes utflyttade,9786
Hallands län,2021,historisk,Inrikes flyttnetto,1491
Hallands län,2021,historisk,Inrikes inflyttade,11607
Hallands län,2021,historisk,Inrikes utflyttade,10116
Hallands län,2022,historisk,Inrikes flyttnetto,1093
Hallands län,2022,historisk,Inrikes inflyttade,11232
Hallands län,2022,historisk,Inrikes utflyttade,10139
Hallands län,2023,historisk,Inrikes flyttnetto,529
Hallands län,2023,historisk,Inrikes inflyttade,10390
Hallands län,2023,historisk,Inrikes utflyttade,9861
Hallands län,2024,historisk,Inrikes flyttnetto,685
Hallands län,2024,historisk,Inrikes inflyttade,10350
Hallands län,2024,historisk,Inrikes utflyttade,9665
Hallands län,2025,historisk,Inrikes flyttnetto,865
Hallands län,2025,historisk,Inrikes inflyttade,10613
Hallands län,2025,historisk,Inrikes utflyttade,9748
Hallands län,2026,prognos,Inrikes flyttnetto,1040.9278666105765
Hallands län,2026,prognos,Inrikes inflyttade,10679.126110796991
Hallands län,2026,prognos,Inrikes utflyttade,9638.198244186415
Hallands län,2027,prognos,Inrikes flyttnetto,969.1338931890095
Hallands län,2027,prognos,Inrikes inflyttade,10756.768893337581
Hallands län,2027,prognos,Inrikes utflyttade,9787.635000148572
Hallands län,2028,prognos,Inrikes flyttnetto,900.4751085907865
Hallands län,2028,prognos,Inrikes inflyttade,10745.90361056337
Hallands län,2028,prognos,Inrikes utflyttade,9845.428501972583
Hallands län,2029,prognos,Inrikes flyttnetto,869.0593194086869
Hallands län,2029,prognos,Inrikes inflyttade,10756.804440223765
Hallands län,2029,prognos,Inrikes utflyttade,9887.745120815078
Hallands län,2030,prognos,Inrikes flyttnetto,877.2523394987675
Hallands län,2030,prognos,Inrikes inflyttade,10801.456962121683
Hallands län,2030,prognos,Inrikes utflyttade,9924.204622622916
Hallands län,2031,prognos,Inrikes flyttnetto,873.6672866228819
Hallands län,2031,prognos,Inrikes inflyttade,10848.364246600911
Hallands län,2031,prognos,Inrikes utflyttade,9974.69695997803
Hallands län,2032,prognos,Inrikes flyttnetto,879.5937392337473
Hallands län,2032,prognos,Inrikes inflyttade,10897.528460435831
Hallands län,2032,prognos,Inrikes utflyttade,10017.934721202084
Hallands län,2033,prognos,Inrikes flyttnetto,893.1527781645127
Hallands län,2033,prognos,Inrikes inflyttade,10946.529982194825
Hallands län,2033,prognos,Inrikes utflyttade,10053.377204030312
Hallands län,2034,prognos,Inrikes flyttnetto,911.5053353638723
Hallands län,2034,prognos,Inrikes inflyttade,10990.341074365428
Hallands län,2034,prognos,Inrikes utflyttade,10078.835739001555
Hallands län,2035,prognos,Inrikes flyttnetto,933.9353087524432
Hallands län,2035,prognos,Inrikes inflyttade,11028.491682676628
Hallands län,2035,prognos,Inrikes utflyttade,10094.556373924184
Hallands län,2036,prognos,Inrikes flyttnetto,957.8303357259229
Hallands län,2036,prognos,Inrikes inflyttade,11060.16668507905
Hallands län,2036,prognos,Inrikes utflyttade,10102.336349353127
Hallands län,2037,prognos,Inrikes flyttnetto,980.5739722040234
Hallands län,2037,prognos,Inrikes inflyttade,11085.295026475691
Hallands län,2037,prognos,Inrikes utflyttade,10104.721054271668
Hallands län,2038,prognos,Inrikes flyttnetto,1003.4443942908001
Hallands län,2038,prognos,Inrikes inflyttade,11104.8139655893
Hallands län,2038,prognos,Inrikes utflyttade,10101.369571298499
Hallands län,2039,prognos,Inrikes flyttnetto,1026.1213133360834
Hallands län,2039,prognos,Inrikes inflyttade,11119.160015155347
Hallands län,2039,prognos,Inrikes utflyttade,10093.038701819263
Hallands län,2040,prognos,Inrikes flyttnetto,1050.214774024882
Hallands län,2040,prognos,Inrikes inflyttade,11129.004441716766
Hallands län,2040,prognos,Inrikes utflyttade,10078.789667691884
Halmstad,2000,historisk,Inrikes flyttnetto,399
