Region,År,Variabel,Värde
Riket,2022,Födelserisker,1.5152739172666585
Riket,2023,Födelserisker,1.448734796691191
Riket,2024,Födelserisker,1.4273764314063189
Riket,2025,Födelserisker,1.4218482354674544
Riket,2026,Födelserisker,1.4363
Riket,2027,Födelserisker,1.4414
Riket,2028,Födelserisker,1.4489
Riket,2029,Födelserisker,1.4811
Riket,2030,Födelserisker,1.5138
Riket,2031,Födelserisker,1.5478
Riket,2032,Födelserisker,1.5829
Riket,2033,Födelserisker,1.6175
Riket,2034,Födelserisker,1.6229
Riket,2035,Födelserisker,1.629
Riket,2036,Födelserisker,1.6317
Riket,2037,Födelserisker,1.6342
Riket,2038,Födelserisker,1.6366
Riket,2039,Födelserisker,1.6399
Riket,2040,Födelserisker,1.6431
Varberg,2000,Födelserisker,1.634213974058695
Varberg,2001,Födelserisker,1.7377075569294835
Varberg,2002,Födelserisker,1.8682195076122374
Varberg,2003,Födelserisker,1.9980228689764987
Varberg,2004,Födelserisker,1.8963038053113215
Varberg,2005,Födelserisker,1.9244395579605278
Varberg,2006,Födelserisker,2.0847670805085845
Varberg,2007,Födelserisker,2.0209968341672075
Varberg,2008,Födelserisker,2.131715907596197
Varberg,2009,Födelserisker,2.1491162623201063
Varberg,2010,Födelserisker,2.2639303066450327
Varberg,2011,Födelserisker,2.105088586008902
Varberg,2012,Födelserisker,1.912815603424613
Varberg,2013,Födelserisker,2.049859881232915
Varberg,2014,Födelserisker,1.916857962939008
Varberg,2015,Födelserisker,1.8450159954247949
Varberg,2016,Födelserisker,1.8695962713076866
Varberg,2017,Födelserisker,1.9023155094229443
Varberg,2018,Födelserisker,1.8080127910617176
Varberg,2019,Födelserisker,1.7924703244935731
Varberg,2020,Födelserisker,1.7269432797575193
Varberg,2021,Födelserisker,1.8301937684097336
Varberg,2022,Födelserisker,1.7902281579207775
Varberg,2023,Födelserisker,1.5405938104379548
Varberg,2024,Födelserisker,1.6252057732243526
Varberg,2025,Födelserisker,1.731198823193361
Varberg,2026,Födelserisker,1.6240176377040705
Varberg,2027,Födelserisker,1.6287268000345676
Varberg,2028,Födelserisker,1.6345053778234355
Varberg,2029,Födelserisker,1.6679033984933074
Varberg,2030,Födelserisker,1.7018483763984018
Varberg,2031,Födelserisker,1.7372431195455078
Varberg,2032,Födelserisker,1.773879064974353
Varberg,2033,Födelserisker,1.8120816887080935
Varberg,2034,Födelserisker,1.8160225738261129
Varberg,2035,Födelserisker,1.820588597511759
Varberg,2036,Födelserisker,1.8216378285254895
Varberg,2037,Födelserisker,1.822527206094593
Varberg,2038,Födelserisker,1.8231959362774302
Varberg,2039,Födelserisker,1.8247919008586118
Varberg,2040,Födelserisker,1.826227821311004
